SCPI,Display Name,Gérant,Stratégie,Distribution estimée,TD 2021,TDVM 2020,Part Souscription,Part Retrait,Différentiel souscription / retrait,Valeur de reconstitution,# Min parts Souscription,Montant min Souscription,Délai de jouissance,Frais de gestion,Versement programmé,TOF,TOP,Nombre de locataires,WALB (ans),Souscriptions,Retraits,Indice de liquidité,ISR,Capitalisation,Geographie,Création,Endettement,URL,Versement,Displayable,Featured,Image Link,Allow Direct Debit,Cashback
Novapierre Résidentiel,Novapierre Résidentiel,Paref Gestion,Résidentiel,,/,"2,07%","1 622,00 €","1 460,61 €","9,95%","1 745,00 €",5,"8 110,00 €",1 mois,"9,60%",Non,"94,10%",NA,NA,NA,1 870,1 563,Illiquide,Non,339 millions €,🇫🇷 Paris,1996,"16,60%",https://paref-gestion.com/scpi/scpi-residentiel-novapierre-residentiel/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fresidentiel04.jpg?alt=media&token=121f0727-0207-4057-8424-96d3336a297f,Yes,Oui
Optimale,Optimale,Consultim AM,Commerces,,"5,52%",/,"250,00 €","225,00 €","10,00%","261,00 €",6,"1 500,00 €",3 mois,10%,Non,"97,44%","100,00%",27,NA,13 854,4 546,Mauvais,Non,25 millions €,🇫🇷 France,2020,"32,50%",https://www.consultim-am.com/notre-scpi/,Mensuel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce05.jpg?alt=media&token=17721e24-adb1-415c-bd13-a588495e5452,Yes,Oui
Patrimmo Commerce,Patrimmo Commerce,Primonial REIM,Commerces,,"3,19%","3,41%","197,00 €","179,27 €","9,00%","179,47 €",50,"9 850,00 €",3 mois,"12,00%",Oui,"88,40%","87,30%",591,NA,1 414,1 414,Illiquide,Non,758 millions €,🇫🇷 🇪🇺 France / Europe,2011,"26,14%",https://www.primonialreim.com/scpi-patrimmo-commerce,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce02.jpg?alt=media&token=ec6214f9-53a6-4687-88fa-1011444dd909,No,Oui
Patrimmo Croissance,Patrimmo Croissance,Primonial REIM,Résidentiel,,/,/,"715,54 €","631,39 €","11,76%","707,64 €",14,"10 017,56 €",0 mois,12%,Oui,NA,NA,NA,NA,18 652,297,Bon,Non,193 millions €,🇫🇷 France,2014,"7,14%",https://www.primonialreim.com/scpi-patrimmo-croissance,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fresidentiel01.jpg?alt=media&token=800abbbd-9a12-4909-b76d-c033c5cc8978,No,Oui
PF Grand Paris,PF Grand Paris,Perial AM,Bureaux,,"4,42%","4,53%","544,00 €","492,32 €","9,50%","570,47 €",10,"5 440,00 €",5 mois,12%,Oui,"92,90%","92,70%",408,"4,1",NA,NA,NA,Oui,"1,2 milliards €",🇫🇷 France,1966,"30,50%",https://www.perial.com/scpi/pfgrandparis,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau08.jpg?alt=media&token=bae87786-753e-4360-9586-4a9eaa3387eb,No,Oui
PF Hospitalité Europe,PF Hospitalité Europe,Perial AM,Diversifiée,,"4,53%","4,18%","200,00 €","183,00 €","8,50%","198,80 €",5,"1 000,00 €",5 mois,"10,80%",Oui,"100,00%","100,00%",17,"15,1",NA,NA,NA,Oui,285 millions €,🇪🇺 Europe,2020,NA,https://www.perial.com/scpi/pf-hospitalite-europe,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie22.jpg?alt=media&token=04245feb-3dfa-42f6-a798-0e7de59698c7,No,Oui
PFO,PFO,Perial AM,Bureaux,,"4,79%","4,24%","966,00 €","874,23 €","9,50%","983,17 €",5,"4 830,00 €",5 mois,12%,Oui,"93,40%","88,90%",334,"5,1",NA,NA,NA,Non,825 millions €,🇫🇷 France,1992,"28,50%",https://www.perial.com/scpi/pfo,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau09.jpg?alt=media&token=e730acbb-7142-4400-9e62-a8abe2f7604d,Yes,Oui
PFO2,PFO2,Perial AM,Bureaux,,"4,59%","4,50%","196,00 €","179,34 €","8,50%","194,21 €",30,"5 880,00 €",5 mois,"13,80%",Oui,"91,40%","85,70%",567,"4,4",NA,NA,NA,Oui,"2,85 milliards €",🇫🇷 France,2009,"24,50%",https://www.perial.com/scpi/pfo2,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau10.jpg?alt=media&token=194d465e-6620-424e-930c-8d59fa3407b3,Yes,Oui
Pierre Capitale,Pierre Capitale,SwissLife,Bureaux,,"4,84%","4,05%","205,00 €","184,50 €","10,00%",NA,25,"5 125,00 €",5 mois,12%,Oui,"99,76%","100,00%",27,NA,9 424,9 299,Illiquide,Oui,97 millions €,France et Europe,2017,"34,00%",https://fr.swisslife-am.com/gp/scpi-pierre-capitale/,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau11.jpg?alt=media&token=54233036-92c8-4079-bbc6-a98325bf74ee,No,Oui
Pierre Rendement,Pierre Rendement,Aestiam,Commerces,,"4,00%","3,43%","922,00 €","839,02 €","9,00%","975,89 €",1,"922,00 €",1 mois,12%,Non,"95,50%",NA,295,"3,41",658,658,Illiquide,Non,413 millions €,🇫🇷 France,1996,"11,00%",https://www.aestiam.com/scpi/aestiam-pierre-rendement,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce01.jpg?alt=media&token=f66ca2ab-3543-4f15-89cb-18a84112790a,No,Oui
Pierval Santé,Pierval Santé,Euryale AM,Santé,,"5,33%","4,95%","204,00 €","182,56 €","10,51%","210,31 €",5,"1 020,00 €",4 mois,"8,40%",Oui,"98,72%","98,72%",785,NA,NA,NA,NA,Non,"2,6 milliard €",🇪🇺 Europe,2014,"18,00%",http://www.euryale-am.fr/pierval_sante.htm,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fsante01.jpg?alt=media&token=5097554e-8313-4a17-8595-1e4ce98f7c39,No,Oui
Placement Pierre,Placement Pierre,Aestiam,Bureaux,,"5,01%","4,77%","350,00 €","318,50 €","9,00%","365,40 €",10,"3 500,00 €",4 mois,"7,20%",Non,"92,70%","89,86%",295,"2,91",8 226,8 226,Illiquide,Non,"376,0 millions €",🇫🇷 France,1986,"11,70%",https://www.aestiam.com/scpi/aestiam-placement-pierre,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau12.jpg?alt=media&token=a6fe09c6-6c49-49d4-9d15-5a6f664ae6a7,No,Oui
Primofamily,Primofamily,Primonial REIM,Résidentiel,,"3,03%","3,50%","204,00 €","185,64 €","9,00%","218,53 €",50,"10 200,00 €",3 mois,12%,Oui,"93,20%","90,60%",465,NA,23 555,308,Bon,Non,237 millions €,🇫🇷 France,2017,"35,75%",https://www.primonial.com/solutions/pierre-papier/scpi-primofamily,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fresidentiel02.jpg?alt=media&token=a56118ec-647e-4437-865b-e6186e44022a,No,Oui
Primopierre,Primopierre,Primonial REIM,Bureaux,,"4,77%","5,04%","208,00 €","185,92 €","10,62%","219,61 €",50,"10 400,00 €",3 mois,12%,Oui,"90,60%",NA,383,"4,02",279 439,92 436,Moyen,Oui,"3,9 milliard €",🇫🇷 France,2008,"24,48%",https://www.primonial.com/solutions/pierre-papier/scpi-primopierre,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau13.jpg?alt=media&token=e19f163f-c3f3-4ebe-bf0a-73bcaf870a1e,No,Oui
Primovie,Primovie,Primonial REIM,Santé,,"4,60%","4,50%","203,00 €","184,73 €","9,00%","202,79 €",50,"10 150,00 €",5 mois,12%,Oui,"96,70%",NA,521,"9,66",895 960,42 123,Moyen,Non,"4,8 milliards €",🇫🇷 🇪🇺 France / Europe,2012,"27,60%",https://www.primonialreim.com/scpi-primovie,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie28.jpg?alt=media&token=5975d0b5-12d9-43db-ac74-7ad06c5b866f,No,Oui
Remake Live,Remake Live,Remake,Diversifiée,6%,/,/,"200,00 €","200,00 €","0,00%",,5,"1 000,00 €",3 mois,18%,Non,"100,00%","96,38%",14,"5,53",242 194,0,Très bon,Oui,"83,8 millions €",🇫🇷 France,2022,"23,36%",https://www.remake.fr/remake-live,Mensuel,TRUE,,,Yes,Non
Rivoli Avenir Patrimoine,Rivoli Avenir Patrimoine,Amundi,Bureaux,,"3,80%","3,48%","306,00 €","281,54 €","7,99%",NA,5,"1 530,00 €",2 mois,8%,Oui,"90,16%",NA,NA,NA,281 092,64 052,Mauvais,Oui,"3,9 milliards €",Ile de France et Europe,2002,,https://www.amundi.fr/fr_part/product/view/SU0032,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau14.jpg?alt=media&token=ebf7a821-3e25-40d2-b3ad-8f63361ae598,No,Oui
SelectInvest 1,SelectInvest 1,La Francaise AM,Bureaux,,"4,10%","4,10%","640,00 €","600,00 €","6,25%",,2,"1 280,00 €",1 mois,"10,80%",Oui,"94,50%","88,80%",NA,NA,428,6 486,Mauvais,Non,"1,6 milliards €",🇫🇷 France,1975,"25,00%",https://www.lafrancaise-am-partenaires.com/produit/scpi,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau15.jpg?alt=media&token=9c5d26aa-1d7d-483b-9ced-03e97f29b936,No,Oui
Selectipierre 2,Selectipierre 2,Fiducial Gérance,Bureaux,,"4,03%","4,07%","765,00 €","689,00 €","9,93%","848,75 €",10,"7 650,00 €",5 mois,"10,20%",Oui,"97,96%",NA,282,NA,596 921,594 450,Illiquide,Non,456 millions €,🇫🇷 Paris,1978,,https://www.fiducial-gerance.fr/Nos-SCPI/SCPI-SELECTIPIERRE-2-Paris,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau16.jpg?alt=media&token=df16b596-3788-42a8-9001-17c9ec64f2b2,No,Oui
Sofipierre,Sofipierre,Sofidy,Commerces,,"4,80%","4,39%","655,00 €","589,50 €","10,00%","651,67 €",10,"6 550,00 €",2 mois,"12,00%",Non,"96,63%",NA,NA,NA,7 162,1 278,Moyen,Non,"141,7 millions €",🇫🇷 🇪🇺 France / Europe,1989,"29,70%",https://www.sofidy.com/solutions/sofipierre/,Trimestriel,,,,No,Oui
Transitions Europe,Transitions Europe,Arkea REIM,Diversifiée,,/,/,"200,00 €","180,00 €","10,00%",/,5,"1 000,00 €",5 mois,"10,00%",Non,/,/,/,/,/,/,/,Oui,/,🇪🇺 Europe,2022,,https://www.arkea-reim.com/immobilier/pa_89367/transitions-europe,Trimestriel,FAUX,,,,Oui
Urban Coeur Commerce,Urban Coeur Commerce,Urban Premium,Commerces,,"4,30%","3,40%","300,00 €","264,00 €","12,00%","312,23 €",10,"3 000,00 €",3 mois,12%,Non,"98,82%","97,60%",46,NA,11 333,0,Très bon,Non,35 millions €,🇫🇷 France,2018,NA - Ramp up,http://www.urban-premium.com/particuliers/scpi-urban-coeur-de-commerce/,Trimestriel,TRUE,,,Yes,Oui
Urban Prestigimmo 5,Urban Prestigimmo 5,Urban Premium,Résidentiel,,/,/,"500,00 €","440,00 €","12,00%",/,10,"5 000,00 €",0 mois,12%,Non,NA,NA,NA,NA,3 420,0,Très bon,Non,10 millions €,🇫🇷 France,2021,,http://www.urban-premium.com/particuliers/scpi-malraux-urban-prestigimmo-5/,Trimestriel,FAUX,,,No,Oui
Vendôme Régions,Vendôme Régions,Norma Capital,Diversifiée,,"5,91%","6,02%","670,00 €","603,00 €","10,00%","711,15 €",5,"3 350,00 €",5 mois,12%,Non,"97,00%","97,00%",259,NA,137 516,1 815,Très bon,Oui,570 millions €,🇫🇷 France,2015,"14,74%",https://www.normacapital.fr/fonds/vendome-regions/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie23.jpg?alt=media&token=83ced10d-f529-4999-aeab-f61b83c48c48,Yes,Oui
Altixia Cadence XII,Altixia Cadence XII,Altixia REIM,Diversifiée,,"5,15%","5,13%","200,00 €","182,00 €","9,00%","208,27 €",10,"2 000,00 €",5 mois,10%,Non,"97,10%","98,20%",NA,"6,37",68 708,10,Très bon,Non,"113,4 millions €",🇫🇷 France,2018,"15,30%",https://www.altixia.fr/scpi-cadence.php,Mensuel,TRUE,,,No,Oui
Altixia Commerces,Altixia Commerces,Altixia REIM,Commerces,,"5,21%","5,03%","203,00 €","197,92 €","2,50%","214,39 €",10,"2 030,00 €",5 mois,15%,Non,"96,90%","90,30%",NA,"7,59",32 900,85,Très bon,Non,"79,3 millions €",🇫🇷 France,2018,"11,20%",https://www.altixia.fr/scpi-altixia-commerces.php,Mensuel,TRUE,,,No,Oui
